CustomerID,Gender,Location,Tenure_Months,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status,GST,Date,Offline_Spend,Online_Spend,Month,Coupon_Code,Discount_pct,Tenure_Category,Price_Category,Cluster_Before,Cluster_after
16520.0,0,Washington DC,37.0,25637.0,2019-04-15,GGOEADWQ015699,Android Rise 14 oz Mug,Drinkware,1.0,10.39,6.0,2,0.18,4/15/2019,3000.0,1593.58,4,EXTRA10,10.0,4,2,1,1
14560.0,1,Chicago,40.0,31159.0,2019-06-24,GGOEGCBN016899,Google Pet Feeding Mat,Lifestyle,1.0,4.89,6.0,2,0.18,6/24/2019,3500.0,1975.15,6,EXTRA30,30.0,4,2,1,1
16241.0,1,New York,34.0,33153.0,2019-07-19,GGOEGAAQ010415,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,1.0,16.99,6.0,0,0.18,7/19/2019,2000.0,3444.24,7,SALE10,10.0,1,2,1,1
14156.0,0,California,5.0,47411.0,2019-12-18,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1.0,151.88,6.5,1,0.1,12/18/2019,4500.0,663.46,12,ELEC30,30.0,5,4,0,0
13309.0,1,Chicago,14.0,47985.0,2019-12-23,GGOENEBQ093499,Nest Detect - USA,Nest,2.0,49.95,6.5,0,0.05,12/23/2019,4500.0,2199.69,12,NE30,30.0,3,2,1,1
12838.0,0,California,31.0,17152.0,2019-01-05,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,0,0.1,1/5/2019,4500.0,4055.3,1,ELEC10,10.0,1,1,0,0
17259.0,1,Chicago,8.0,22595.0,2019-03-11,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.5,1,0.1,3/11/2019,2500.0,973.15,3,ELEC30,30.0,2,1,0,0
13280.0,0,California,43.0,34302.0,2019-08-01,GGOEGHPJ080310,Google Blackout Cap,Headgear,1.0,10.63,6.0,0,0.05,8/1/2019,1500.0,641.12,8,HGEAR20,20.0,4,2,1,1
15012.0,0,California,42.0,17390.0,2019-01-08,GGOEGCLB020832,Softsided Travel Pouch Set,Bags,1.0,11.34,7.25,2,0.18,1/8/2019,5000.0,2551.38,1,AIO10,10.0,4,2,1,1
15339.0,0,Chicago,47.0,41505.0,2019-10-23,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,199.0,7.25,2,0.1,10/23/2019,3500.0,1153.81,10,ELEC10,10.0,4,4,0,0
