Gender,Location,Tenure_Months,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status,GST,Offline_Spend,Online_Spend,Month,Discount_pct,Tenure_Category,Price_Category
1,1,12.0,16,1.0,153.71,6.5,2,0.1,4500.0,2424.5,1,10.0,2,4
1,1,12.0,16,1.0,153.71,6.5,2,0.1,4500.0,2424.5,1,10.0,2,4
1,1,12.0,16,2.0,122.77,6.5,1,0.1,4500.0,2424.5,1,10.0,2,1
1,1,12.0,16,1.0,81.5,6.5,0,0.1,4500.0,2424.5,1,10.0,2,3
1,1,12.0,16,1.0,153.71,6.5,0,0.1,4500.0,2424.5,1,10.0,2,4
1,1,12.0,16,1.0,153.71,6.5,0,0.1,4500.0,2424.5,1,10.0,2,4
1,1,12.0,16,2.0,153.71,6.5,0,0.1,4500.0,2424.5,1,10.0,2,4
1,1,12.0,16,2.0,81.5,6.5,1,0.1,4500.0,2424.5,1,10.0,2,3
1,1,12.0,16,1.0,246.77499999999998,6.5,2,0.1,4500.0,2424.5,1,10.0,2,0
1,1,12.0,16,1.0,153.71,7.25,0,0.1,4500.0,2424.5,1,10.0,2,4
1,1,12.0,16,1.0,122.77,6.5,2,0.1,4500.0,2424.5,1,10.0,2,1
1,1,12.0,16,1.0,153.71,6.5,1,0.1,4500.0,2424.5,1,10.0,2,4
1,1,12.0,16,1.0,153.71,6.5,2,0.1,4500.0,2424.5,1,10.0,2,4
1,1,12.0,16,1.0,122.77,6.5,0,0.1,4500.0,2424.5,1,10.0,2,1
1,1,12.0,16,1.0,153.71,6.5,0,0.1,4500.0,2424.5,1,10.0,2,4
1,1,12.0,16,1.0,153.71,6.5,2,0.1,4500.0,2424.5,1,10.0,2,4
1,1,12.0,16,2.0,122.77,6.5,2,0.1,4500.0,2424.5,1,10.0,2,1
1,1,12.0,16,1.0,122.77,6.5,2,0.1,4500.0,2424.5,1,10.0,2,1
1,1,12.0,16,1.0,122.77,6.5,1,0.1,4500.0,2424.5,1,10.0,2,1
1,1,12.0,16,1.0,122.77,6.5,0,0.1,4500.0,2424.5,1,10.0,2,1
1,1,12.0,16,1.0,122.77,6.5,0,0.1,4500.0,2424.5,1,10.0,2,1
1,1,12.0,16,1.0,122.77,6.5,0,0.1,4500.0,2424.5,1,10.0,2,1
1,1,12.0,16,2.0,122.77,6.5,0,0.1,4500.0,2424.5,1,10.0,2,1
1,0,43.0,16,2.0,122.77,6.5,0,0.1,4500.0,2424.5,1,10.0,4,1
1,0,43.0,16,1.0,81.5,6.5,2,0.1,4500.0,2424.5,1,10.0,4,3
1,0,43.0,16,1.0,122.77,6.5,2,0.1,4500.0,2424.5,1,10.0,4,1
1,0,43.0,16,1.0,153.71,6.5,2,0.1,4500.0,2424.5,1,10.0,4,4
1,1,33.0,16,1.0,122.77,6.5,1,0.1,4500.0,2424.5,1,10.0,1,1
1,0,49.0,16,1.0,153.71,6.5,0,0.1,4500.0,2424.5,1,10.0,0,4
0,3,46.0,16,1.0,153.71,6.5,0,0.1,4500.0,2424.5,1,10.0,4,4
0,3,46.0,16,1.0,122.77,6.5,0,0.1,4500.0,2424.5,1,10.0,4,1
0,3,46.0,16,1.0,153.71,6.5,2,0.1,4500.0,2424.5,1,10.0,4,4
1,1,12.0,16,1.0,153.71,6.5,2,0.1,4500.0,1576.38,1,10.0,2,4
1,1,12.0,16,2.0,122.77,6.5,1,0.1,4500.0,1576.38,1,10.0,2,1
1,1,12.0,16,1.0,153.71,6.5,0,0.1,4500.0,1576.38,1,10.0,2,4
1,1,12.0,16,1.0,153.71,6.5,2,0.1,4500.0,1576.38,1,10.0,2,4
1,1,12.0,16,1.0,153.71,6.5,0,0.1,4500.0,1576.38,1,10.0,2,4
1,1,12.0,16,1.0,122.77,6.5,0,0.1,4500.0,1576.38,1,10.0,2,1
0,2,14.0,16,1.0,153.71,6.5,0,0.1,4500.0,1576.38,1,10.0,3,4
0,2,14.0,16,1.0,81.5,6.5,0,0.1,4500.0,1576.38,1,10.0,3,3
0,2,14.0,16,3.0,102.13,6.5,0,0.1,4500.0,1576.38,1,10.0,3,1
0,2,14.0,16,3.5,153.71,6.5,0,0.1,4500.0,1576.38,1,10.0,3,4
0,2,14.0,16,1.0,122.77,6.5,0,0.1,4500.0,1576.38,1,10.0,3,1
0,1,25.0,16,1.0,153.71,6.5,2,0.1,4500.0,1576.38,1,10.0,1,4
0,1,25.0,16,1.0,153.71,6.5,2,0.1,4500.0,1576.38,1,10.0,1,4
