provinsi,jenis,daerah,tahun,periode,gk,kategori,kategori_encoded
ACEH,MAKANAN,PERKOTAAN,2015,MARET,293697.0,Menengah Rendah,1
ACEH,MAKANAN,PERKOTAAN,2015,SEPTEMBER,302128.0,Menengah Rendah,1
ACEH,MAKANAN,PERKOTAAN,2016,MARET,306243.0,Menengah Rendah,1
ACEH,MAKANAN,PERKOTAAN,2016,SEPTEMBER,319768.0,Menengah Rendah,1
ACEH,MAKANAN,PERDESAAN,2015,MARET,297479.0,Menengah Rendah,1
ACEH,MAKANAN,PERDESAAN,2015,SEPTEMBER,306737.0,Menengah Rendah,1
ACEH,MAKANAN,PERDESAAN,2016,MARET,315697.0,Menengah Rendah,1
ACEH,MAKANAN,PERDESAAN,2016,SEPTEMBER,324854.0,Menengah Rendah,1
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,MARET,296406.0,Menengah Rendah,1
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,305428.0,Menengah Rendah,1
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,MARET,312801.0,Menengah Rendah,1
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,323548.0,Menengah Rendah,1
ACEH,MAKANAN,PERKOTAAN,2017,MARET,330153.0,Menengah Rendah,1
ACEH,MAKANAN,PERKOTAAN,2017,SEPTEMBER,347811.0,Menengah Rendah,1
ACEH,MAKANAN,PERKOTAAN,2018,MARET,351777.0,Menengah,0
ACEH,MAKANAN,PERKOTAAN,2018,SEPTEMBER,360318.0,Menengah,0
ACEH,MAKANAN,PERDESAAN,2017,MARET,331267.0,Menengah Rendah,1
ACEH,MAKANAN,PERDESAAN,2017,SEPTEMBER,346070.0,Menengah Rendah,1
ACEH,MAKANAN,PERDESAAN,2018,MARET,353915.0,Menengah,0
ACEH,MAKANAN,PERDESAAN,2018,SEPTEMBER,362463.0,Menengah,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2017,MARET,330958.0,Menengah Rendah,1
ACEH,MAKANAN,PERDESAANPERKOTAAN,2017,SEPTEMBER,346552.0,Menengah Rendah,1
ACEH,MAKANAN,PERDESAANPERKOTAAN,2018,MARET,353291.0,Menengah,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2018,SEPTEMBER,361835.0,Menengah,0
ACEH,MAKANAN,PERKOTAAN,2019,MARET,364040.0,Menengah,0
ACEH,MAKANAN,PERKOTAAN,2019,SEPTEMBER,377620.0,Menengah,0
ACEH,MAKANAN,PERKOTAAN,2020,MARET,398026.0,Menengah,0
ACEH,MAKANAN,PERKOTAAN,2020,SEPTEMBER,399504.0,Menengah,0
ACEH,MAKANAN,PERDESAAN,2019,MARET,372626.0,Menengah,0
ACEH,MAKANAN,PERDESAAN,2019,SEPTEMBER,387367.0,Menengah,0
ACEH,MAKANAN,PERDESAAN,2020,MARET,396615.0,Menengah,0
ACEH,MAKANAN,PERDESAAN,2020,SEPTEMBER,397816.0,Menengah,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2019,MARET,370093.0,Menengah,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2019,SEPTEMBER,384381.0,Menengah,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2020,MARET,397032.0,Menengah,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2020,SEPTEMBER,398316.0,Menengah,0
ACEH,MAKANAN,PERKOTAAN,2021,MARET,418047.0,Menengah,0
ACEH,MAKANAN,PERKOTAAN,2021,SEPTEMBER,426126.0,Menengah,0
ACEH,MAKANAN,PERKOTAAN,2022,MARET,448528.0,Menengah,0
ACEH,MAKANAN,PERKOTAAN,2022,SEPTEMBER,481276.0,Menengah,0
ACEH,MAKANAN,PERDESAAN,2021,MARET,406917.0,Menengah,0
ACEH,MAKANAN,PERDESAAN,2021,SEPTEMBER,414738.0,Menengah,0
ACEH,MAKANAN,PERDESAAN,2022,MARET,434104.0,Menengah,0
ACEH,MAKANAN,PERDESAAN,2022,SEPTEMBER,462138.0,Menengah,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2021,MARET,410420.0,Menengah,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2021,SEPTEMBER,418296.0,Menengah,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2022,MARET,438658.0,Menengah,0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2022,SEPTEMBER,468255.0,Menengah,0
ACEH,NONMAKANAN,PERKOTAAN,2015,MARET,116717.0,Rendah,3
ACEH,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,118196.0,Rendah,3
ACEH,NONMAKANAN,PERKOTAAN,2016,MARET,121727.0,Rendah,3
ACEH,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,125719.0,Rendah,3
ACEH,NONMAKANAN,PERDESAAN,2015,MARET,84638.0,Rendah,3
ACEH,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,87682.0,Rendah,3
ACEH,NONMAKANAN,PERDESAAN,2016,MARET,88288.0,Rendah,3
ACEH,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,90972.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2015,MARET,93744.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,96344.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2016,MARET,98155.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,101217.0,Rendah,3
ACEH,NONMAKANAN,PERKOTAAN,2017,MARET,127858.0,Rendah,3
ACEH,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,132061.0,Rendah,3
ACEH,NONMAKANAN,PERKOTAAN,2018,MARET,134561.0,Rendah,3
ACEH,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,136434.0,Rendah,3
ACEH,NONMAKANAN,PERDESAAN,2017,MARET,94463.0,Rendah,3
ACEH,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,96799.0,Rendah,3
ACEH,NONMAKANAN,PERDESAAN,2018,MARET,100825.0,Rendah,3
ACEH,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,104778.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2017,MARET,104496.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2017,SEPTEMBER,107572.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2018,MARET,111335.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2018,SEPTEMBER,114830.0,Rendah,3
ACEH,NONMAKANAN,PERKOTAAN,2019,MARET,137577.0,Rendah,3
ACEH,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,140281.0,Rendah,3
ACEH,NONMAKANAN,PERKOTAAN,2020,MARET,143425.0,Rendah,3
ACEH,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,144182.0,Rendah,3
ACEH,NONMAKANAN,PERDESAAN,2019,MARET,106943.0,Rendah,3
ACEH,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,110248.0,Rendah,3
ACEH,NONMAKANAN,PERDESAAN,2020,MARET,116270.0,Rendah,3
ACEH,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,116847.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2019,MARET,116842.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2019,SEPTEMBER,120033.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2020,MARET,125093.0,Rendah,3
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2020,SEPTEMBER,125892.0,Rendah,3
ACEH,NONMAKANAN,PERKOTAAN,2021,MARET,147729.0,Rendah,3
ACEH,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,151144.0,Rendah,3
ACEH,NONMAKANAN,PERKOTAAN,2022,MARET,157867.0,Rendah,3
ACEH,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,164956.0,Rendah,3
ACEH,NONMAKANAN,PERDESAAN,2021,MARET,122118.0,Rendah,3
ACEH,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,126262.0,Rendah,3
