Invoice ID,Unit price,Quantity,Tax 5%,Total,Date,Time,cogs,gross margin percentage,gross income,Rating,Branch_B,Branch_C,City_Naypyitaw,City_Yangon,Customer type_Normal,Gender_Male,Product line_Fashion accessories,Product line_Food and beverages,Product line_Health and beauty,Product line_Home and lifestyle,Product line_Sports and travel,Payment_Credit card,Payment_Ewallet,Quantity_bin
750-67-8428,0.7181601426065471,0.5099302037590051,0.9196068488798472,0.919606848879847,2019-01-05,13,0.9196068488798472,4.761904762,0.9196068488798472,1.238443414813962,False,False,False,True,False,False,False,False,True,False,False,False,True,High
226-31-3081,-1.5253031933114591,-0.1745398684007332,-0.9877295584981624,-0.9877295584981625,2019-03-08,10,-0.9877295584981625,4.761904762,-0.9877295584981624,1.5295268103890953,False,True,True,False,True,False,False,False,False,False,False,False,False,Medium
631-41-3108,-0.3527811165524271,0.5099302037590051,0.07144605414678146,0.07144605414678158,2019-03-03,13,0.07144605414678148,4.761904762,0.07144605414678146,0.24875986985850929,False,False,False,True,True,True,False,False,False,True,False,True,False,High
123-19-1176,0.0962136497169736,0.8521652398388743,0.6757798462835544,0.6757798462835541,2019-01-27,20,0.6757798462835541,4.761904762,0.6757798462835544,0.8309266610087758,False,False,False,True,False,True,False,False,True,False,False,False,True,High
373-73-7910,1.1569590647302173,0.5099302037590051,1.2671254819827464,1.2671254819827462,2019-02-08,10,1.267125481982746,4.761904762,1.2671254819827464,-0.9737903915570507,False,False,False,True,True,True,False,False,False,False,True,False,True,High
699-14-3026,1.1222176698632829,0.5099302037590051,1.239611097950503,1.2396110979505028,2019-03-25,18,1.239611097950503,4.761904762,1.239611097950503,-1.6723905409373707,False,True,True,False,True,True,False,False,False,False,False,False,True,High
355-53-5943,0.4972501861157152,0.16769516767913598,0.45053787016866814,0.450537870168668,2019-02-25,14,0.45053787016866803,4.761904762,0.45053787016866814,-0.6827069959819174,False,False,False,True,False,False,False,False,False,False,False,False,True,Medium
315-22-5665,0.675488646737378,1.5366353119986127,1.8286496269140724,1.828649626914072,2019-02-24,11,1.8286496269140722,4.761904762,1.8286496269140724,0.598059944548669,False,True,True,False,True,False,False,False,False,True,False,False,True,High
665-32-9167,-0.7330483408024578,-1.2012449766403408,-1.004306547635601,-1.0043065476356008,2019-01-10,17,-1.004306547635601,4.761904762,-1.004306547635601,0.13232651162845588,False,False,False,True,False,False,False,False,True,False,False,True,False,Low
692-92-5582,-0.03142321403328479,-0.8590099405604715,-0.6112439186035535,-0.6112439186035536,2019-02-20,13,-0.6112439186035536,4.761904762,-0.6112439186035535,-0.6244903168668905,True,False,False,False,False,False,False,True,False,False,False,True,False,Low
351-62-0822,-1.5555131018914021,-0.5167749044806024,-1.0666838778950347,-1.0666838778950347,2019-02-06,18,-1.0666838778950345,4.761904762,-1.0666838778950347,-1.439523824477264,True,False,False,False,False,False,True,False,False,False,False,False,True,Low
529-56-3974,-1.1389939873454398,-0.5167749044806024,-0.8781847127548831,-0.8781847127548832,2019-03-09,17,-0.8781847127548831,4.761904762,-0.8781847127548831,-0.10054020483165095,True,False,False,False,False,True,False,False,False,False,False,False,False,Low
